version,alertid,impact,Alert version,date,time,sessionduration,ident,name,spoofed,category,address,Address category,Address address,Service name,sport,dport
0.1,1,unknown,1,03/07/2000,10:08:07,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.115.20,udp,54790,111
0.1,2,unknown,1,03/07/2000,10:08:07,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.115.20,udp,54792,32773
0.1,3,unknown,1,03/07/2000,10:08:07,00:00:55,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.115.87,udp,54793,111
0.1,4,unknown,1,03/07/2000,10:08:07,00:00:25,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.112.194,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,5,unknown,1,03/07/2000,10:08:37,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.115.87,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,6,unknown,1,03/07/2000,10:08:42,00:00:10,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.112.194,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,7,unknown,1,03/07/2000,10:08:57,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.115.87,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,8,unknown,1,03/07/2000,10:09:02,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.112.194,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,9,unknown,1,03/07/2000,10:12:09,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.113.50,udp,55484,111
0.1,10,unknown,1,03/07/2000,10:12:09,00:00:55,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.113.105,udp,55485,111
0.1,11,unknown,1,03/07/2000,10:12:09,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.112.194,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,12,unknown,1,03/07/2000,10:12:14,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.113.105,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,13,unknown,1,03/07/2000,10:12:19,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.117.132,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,14,unknown,1,03/07/2000,10:12:24,00:00:40,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.112.194,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,15,unknown,1,03/07/2000,10:13:09,00:00:55,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.113.148,udp,55884,111
0.1,16,unknown,1,03/07/2000,10:13:09,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.113.148,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,17,unknown,1,03/07/2000,10:13:14,00:00:25,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.112.194,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,18,unknown,1,03/07/2000,10:13:44,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.113.148,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,19,unknown,1,03/07/2000,10:13:49,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.112.194,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,20,unknown,1,03/07/2000,10:13:54,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.113.148,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,21,unknown,1,03/07/2000,10:13:59,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.112.194,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,22,unknown,1,03/07/2000,10:14:04,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,172.16.113.148,ipv4-addr,202.77.162.213,icmp-destination-unreachable,,
0.1,23,unknown,1,03/07/2000,10:15:10,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.10,udp,56254,111
0.1,24,unknown,1,03/07/2000,10:15:10,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.10,udp,56256,32774
0.1,25,unknown,1,03/07/2000,10:15:10,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.50,udp,56260,111
0.1,26,unknown,1,03/07/2000,10:15:10,00:00:00,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.50,udp,56262,32773
0.1,27,unknown,1,03/07/2000,10:15:10,00:00:55,tcpdump_inside,tcpdump_inside,unknown,ipv4-addr,202.77.162.213,ipv4-addr,172.16.112.100,udp,56263,111
